Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
HC78-826	Hodgson	L74D-619	( Hodgson , L74D-619 ( Williams , Ransom ) )	-	-
HC79-1643	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC79-1644	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC79-1737	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC79-2562	L74D-200	Elf	( L74D-200 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf )	-	-
HC79-478	L70T-543G	L74D-619	( L70T-543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) )	-	-
HC80-1054	Weber	Sprite	( Weber , Sprite )	-	-
HC80-1092	Gnome	Ransom	( Gnome , Ransom )	-	-
HC80-1211	Essex	Elf	( Essex , Elf )	-	-
HC80-1742	Union	Gnome	( Union , Gnome )	-	-
HC80-1756	L73U-632	Elf	( L73U-632 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf )	-	-
HC80-1944	L73U-632	Elf	( L73U-632 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf )	-	-
HC80-1946	L73U-632	Elf	( L73U-632 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf )	-	-
HC80-585	HC74-3400	Sprite	( HC74-3400 , Sprite )	-	-
HC80-586	HC74-3400	Sprite	( HC74-3400 , Sprite )	-	-
HC80-587	HC74-3400	Sprite	( HC74-3400 , Sprite )	-	-
HC80-592	HC74-3400	Sprite	( HC74-3400 , Sprite )	-	-
HC80-597	HC74-3400	Sprite	( HC74-3400 , Sprite )	-	-
HC80-969	Gnome	Sprite	( Gnome , Sprite )	-	-
HC80-976	Gnome	Sprite	( Gnome , Sprite )	-	-
HC81-1134	Gnome	Essex	( Gnome , Essex )	-	-
HC81-1511	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC81-2104	HC74-678	Hobbit	( HC74-678 ( Amsoy_71 , Ransom ) , Hobbit )	-	-
HC81-2792	Gnome	Sprite	( Gnome , Sprite )	-	-
HC81-799	Ransom	Williams	( Ransom , Williams )	-	-
HC81-817	Ransom	Union	( Ransom , Union )	-	-
HC82-1386	Williams	Ransom	( Williams , Ransom )	-	-
HC82-3452	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC82-4965	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC82-5044	H75-5605	Hobbit	( H75-5605 ( Woodworth , V68-1034 ( York , PI_71506 ) ) , Hobbit )	-	-
HC82-5934	Hobbit	A76-304020	( Hobbit , A76-304020 )	-	-
HC82-6195	Sprite	L76-0022	( Sprite , L76-0022 )	-	-
HC83-2408	Sprite	Williams_82	( Sprite , Williams_82 )	-	-
HC83-2546	Hobbit	Williams_82	( Hobbit , Williams_82 )	-	-
HC83-3834	HC74-3400	Williams_82	( HC74-3400 , Williams_82 )	-	-
HC83-4507	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC83-4532	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC83-4532BC	L7413-634	Hobbit	( L7413-634 , Hobbit )	-	-
HC83-4589	L74D-634	Hobbit	( L74D-634 ( Williams , Ransom ) , Hobbit )	-	-
HC83-613-1	A77-314013	Hobbit	( A77-314013 ( A73-21030 , Williams ) , Hobbit )	-	-
HC84-1060	A72-512	HC74-3400	( A72-512 ( Amsoy , Wayne ) , HC74-3400 )	-	-
HC84-180	Hobbit	K74-104-76-205	( Hobbit , K74-104-76-205 ( Tracy , Williams ) )	-	-
HC84-2612	HC78-676	Hobbit	( HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) , Hobbit )	-	-
HC84-4850	Sprite	Williams_82	( Sprite , Williams_82 )	-	-
HC84-4851	Sprite	Williams_82	( Sprite , Williams_82 )	-	-
HC84-4874	Hobbit	Williams_82	( Hobbit , Williams_82 )	-	-
HC84-553-1	Hobbit	K74-104-76-205	( Hobbit , K74-104-76-205 ( Tracy , Williams ) )	-	-
HC85-1440	Hobbit	Ransom	( Hobbit , Ransom )	-	-
HC85-164	HC78-676	Sprite	( HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) , Sprite )	-	-
HC85-2206	Elf	Williams_82	( Elf , Williams_82 )	-	Parentage conflict. NUST 2012 Elf x Williams NUST 2009
HC85-275	HC78-353	Sprite	( HC78-353 ( L72U-2567 ( Williams , Ransom ) , Essex ) , Sprite )	-	-
HC85-279	HC78-353	Sprite	( HC78-353 ( L72U-2567 ( Williams , Ransom ) , Essex ) , Sprite )	-	-
HC85-477	HC78-676	HW74-3400	( HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) , HW74-3400 )	-	-
HC85-5273	Asgrow_A3127	Forrest	( Asgrow_A3127 ( Williams , Essex ) , Forrest )	-	-
HC85-602	Sprite	Asgrow_A3127	( Sprite , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC85-604	Sprite	Asgrow_A3127	( Sprite , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC85-606	Sprite	Asgrow_A3127	( Sprite , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC85-607	Sprite	Asgrow_A3127	( Sprite , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC85-618	Sprite	Asgrow_A3127	( Sprite , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC85-6484	Pixie	Forrest	( Pixie , Forrest )	-	-
HC85-6500	Pixie	HC78-676	( Pixie , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6521	Coker_237	HC78-676	( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6577	HC78-350	HC78-676	( HC78-350 ( L72U-2567 ( Williams , Ransom ) , Essex ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6611	HC78-279	HC78-676	( HC78-279 ( L72U-2567 ( Williams , Ransom ) , Essex ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6716	HC74-634RE	HC78-676	( HC74-634RE ( Williams , Ransom ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6723	HC74-634RE	HC78-676	( HC74-634RE ( Williams , Ransom ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6723B	HC74-634RE	HC78-676	( HC74-634RE ( Williams , Ransom ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-6724	HC74-634RE	HC78-676	( HC74-634RE ( Williams , Ransom ) , HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) )	-	-
HC85-690	HC78-676	Asgrow_A3127	( HC78-676 ( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) ) , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC86-4367	Asgrow_A3127	Sprite_87	( Asgrow_A3127 ( Williams , Essex ) , Sprite_87 )	-	-
HC89-2237	HC80-1944	Asgrow_A3127	( HC80-1944 ( L73U-632 ( Miller_67 , L66L-140 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Elf ) , Asgrow_A3127 ( Williams , Essex ) )	-	-
HC91-1354	Hobbit	Conrad	( Hobbit , Conrad )	-	-
HC91-3672	HC83-4532	Resnik	( HC83-4532 ( L74D-634 ( Williams , Ransom ) , Hobbit ) , Resnik )	-	-
HC97-545	HC88-4532_BC	Charleston_BC	( HC88-4532_BC , Charleston_BC )	-	-
HC99-2763	DPL_3478	Stressland	( DPL_3478 , Stressland )	-	-
HC99-2846	DPL_3478	Stressland	( DPL_3478 , Stressland )	-	-
HDC_Goshen	IA1008	RCAT_9910	( IA1008 , RCAT_9910 )	-	-
HF00-022	OXC-9227-7	OXC-9227-4	( OXC-9227-7 ( OX-89182-2-1 ( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) ) ( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) ( C3S1-71 , C3S1-69 ) ) , OX-89194-1-8 ( OX-85242-3 ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) ) ( OX-85242-3 ( C3S1-57 , C3S1-53 ) ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) ( C3S1-62 , C3S1-53 ) ) ) , OXC-9227-4 ( OX-89182-2-1 ( OX-8601-1 , OX-85284-4 ( C3S1-71 , C3S1-69 ) ) , OX-89194-1-8 ( OX-85242-3 ( C3S1-57 , C3S1-53 ) , OX-85251-16 ( C3S1-62 , C3S1-53 ) ) ) )	-	-
HF01-0821	Pioneer_P9392	HF92-080	( Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) , HF92-080 ( HS84-6224 , Resnik ) )	-	-
HF03-546	A95-581028	PI_592926	( A95-581028 ( Marcus , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , PI_592926 )	-	-
HF92-080	HS84-6224	Resnik	( HS84-6224 , Resnik )	-	-
HF93-194	HM8734	Chapman	( HM8734 , Chapman )	-	-
HF9667-2	General	GXR_9648	( General , GXR_9648 )	-	-
HF99-019	IA2022	Archer	( IA2022 , Archer )	-	-
HHP	Glycine_Soja	Glycine_Max	( Glycine_Soja , Glycine_Max )	-	From Hadley, From Hadley
HI0902015	WW115926	02JR318004	( WW115926 , 02JR318004 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , CM4035N ) )	-	-
HL17619014	Pioneer_P93Y90	Pioneer_P94M90	( Pioneer_P93Y90 , Pioneer_P94M90 )	-	-
HL17619026	Pioneer_P94Y10	Pioneer_P94M90	( Pioneer_P94Y10 , Pioneer_P94M90 )	-	-
HL3060460	YB48M01	Pioneer_P94B73	( YB48M01 ( XB48B ( Y4667-09 ( Pioneer_P4280 ( Williams , Woodworth ) , Fayette ) , Asgrow_A4715 ) , Asgrow_A3431 ) , Pioneer_P94B73 )	-	-
HL3060483	YB48M01	Pioneer_P94B23	( YB48M01 ( XB48B ( Y4667-09 ( Pioneer_P4280 ( Williams , Woodworth ) , Fayette ) , Asgrow_A4715 ) , Asgrow_A3431 ) , Pioneer_P94B23 )	-	-
HL3356756	YB36V00	Pioneer_P93B67	( YB36V00 ( Pioneer_P9362 , Pioneer_P93B82 ) , Pioneer_P93B67 )	-	-
HL5078266	YB48M01	Pioneer_P94M90	( YB48M01 ( XB48B ( Y4667-09 ( Pioneer_P4280 ( Williams , Woodworth ) , Fayette ) , Asgrow_A4715 ) , Asgrow_A3431 ) , Pioneer_P94M90 )	-	-
HL8180531	Pioneer_P94M90	XB41B05	( Pioneer_P94M90 , XB41B05 ( Pioneer_P93B82 , 90765T003 ( Asgrow_A4715 , 90686 ( Pioneer_P9392 ( Asgrow_A3127 ( Williams , Essex ) , Gnome ) , G40-3P9392 ) ) ) )	-	-
HL9476156	XB49M05	Pioneer_P93M90	( XB49M05 , Pioneer_P93M90 )	-	-
HM09-W084	Dennison	HF03-546	( Dennison , HF03-546 ( A95-581028 ( Marcus , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , PI_592926 ) )	-	-
HM09-W146	HS0-3243	IA3017	( HS0-3243 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , Kottman ) , IA3017 )	-	-
HM11-G011	HF04-0648	HS5W-362	( HF04-0648 , HS5W-362 )	-	-
HM11-H015	HS1-3661	Wyandot	( HS1-3661 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , Pioneer_P9352 ) , Wyandot )	-	-
HM11-H016	HS1-3661	Wyandot	( HS1-3661 ( HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) , Pioneer_P9352 ) , Wyandot )	-	-
HM11-W192	OHS_305	OHS_303	( OHS_305 , OHS_303 )	-	-
HM11-W193	OHS_305	OHS_303	( OHS_305 , OHS_303 )	-	-
HM14-C033	HS8-6390	HS6-3971-R	( HS8-6390 , HS6-3971-R )	-	-
HM14-E042	HS8-6348	HS6-3973A	( HS8-6348 , HS6-3973A )	-	-
HM14-E087	Ohio_FG5	HS8W-102	( Ohio_FG5 , HS8W-102 )	-	-
HM14-G047	Dennison	OHS_303	( Dennison , OHS_303 )	-	-
HM14-W070	HS6-3971-R	HS7W-190	( HS6-3971-R , HS7W-190 ( HS1-3641 ( HS94-9053 ( Pioneer_P9268-03 , Vertex ( Conrad , Hayes ) ) , Kottman ) , HS1-3907 ( Dairyland_DSR300 , HS95-2744 ) ) )	-	-
